sep=;
Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
P63;3;20.30;25.25;Strong to moderately strong, pinkish grey, spotted black and white, slightly to moderately decomposed, medium grained GRANITE with closely to medium spaced, very narrow to extremely narrow, rough undulating, limonite stained joints, dipping 5 degrees to 10 degrees.;Granite;High
P64;1;0.00;2.00;wash boring;Fill;High
P64;1;2.00;3.00;Rounded to subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed, finer material washed out. (FILL);Fill;High
P64;1;3.00;11.70;wash boring;Fill;High
P64;2;11.70;12.20;Moderately strong to moderately weak, brownish grey, spotted yellow, moderately to highly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and stained joints, dipping 15 to 35.;Granite;High
P64;2;12.20;16.00;wash boring;No recovery;High
P64;2;16.00;17.53;Moderately strong, pinkish grey, spotted black and white, moderately decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 5 to 25.;Granite;High
P64;2;17.53;17.87;wash boring;No recovery;High
P64;2;17.87;19.20;Strong to moderately strong, pinkish grey, spotted black and white, slightly to moderately decomposed medium grained GRANITE with closely spaced to medium spaced, very narrow, rough undulating, limonite and manganese stained joints, dipping 5 to 15.;Granite;High
P64;3;19.20;22.00;Strong, pinkish grey, spotted black and white, slightly decomposed medium grained GRANITE with closely to medium spaced, extremely narrow, rough undulating, clean joints, dipping 5 to 10.;Granite;High
P64;3;22.00;23.53;moderately strong to strong, moderately to slightly decomposed zone.;Granite;High
P64;3;23.53;24.98;Strong, pinkish grey, spotted black and white, slightly decomposed medium grained GRANITE with closely to medium spaced, extremely narrow, rough undulating, clean joints, dipping 5 to 10.;Granite;High
ASA;1;0.00;3.50;Angular COBBLES and GRAVELS of moderately decomposed granite with some brown silty SAND and some concrete fragments. (FILL);Fill;High
ASA;1;3.50;18.70;Wash Boring. (No Recovery);No Recovery;High
ASA;2;18.70;19.30;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some grey silty sand. (ALLUVIUM);Alluvium;High
ASA;2;19.30;20.70;Wash Boring. (No Recovery);No Recovery;High
ASA;3;20.70;25.90;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, extremely narrow to very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees and 70 degrees-80 degrees.;Granite;High
B1;1;0.00;0.20;Concrete slab;Concrete;High
B1;1;0.20;0.80;Brown, gravelly silty medium to coarse SAND (FILL);Fill;High
B1;1;0.80;19.00;No recovery;No recovery;High
B1;2;19.00;19.30;Sub-angular Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND (ALLUVIUM);Alluvium;High
B1;3;19.30;22.83;No recovery;No recovery;High
B1;3;22.83;23.52;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
B1;3;23.52;23.82;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed GRANITE;Granite;High
B1;3;23.82;23.97;Weak, highly decomposed zone;Granite;High
B1;3;23.97;24.11;No recovery;No recovery;High
B1;3;24.11;33.32;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
B2;1;0.00;0.20;Concrete Slab;Fill;High
B2;1;0.20;1.50;Wash boring;No recovery;High
B2;1;1.50;3.33;Concrete with cobbles and gravels of moderately decomposed granite (FILL);Fill;High
B2;1;3.33;24.60;Wash boring;No recovery;High
B2;3;24.60;25.03;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees;Granite;High
B2;3;25.03;25.20;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
B2;3;25.20;25.60;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees;Granite;High
B2;3;25.60;25.74;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
B2;3;25.74;34.17;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees;Granite;High
B2A;1;0.0;0.2;Concrete Slab;Concrete;High
B2A;1;0.2;1.4;Wash boring;No recovery;High
B2A;1;1.4;2.8;Concrete with cobbles and gravels of moderately decomposed granite and occasionally some steel fragment;Fill;High
B2A;1;2.8;18.0;Wash boring;No recovery;High
B2A;2;18.0;18.5;Sub-rounded cobbles and gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
B2A;2;18.5;22.8;Wash boring;No recovery;High
B2A;3;22.8;23.08;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10-20, 65-85 and occasionally vertical joints;Granite;High
B2A;3;23.08;23.4;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
B2A;3;23.4;23.8;No recovery;No recovery;High
B2A;3;23.8;31.56;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10-20, 65-85 and occasionally vertical joints;Granite;High
B2B;1;0.00;0.20;Concrete Slab;Concrete;High
B2B;1;0.20;2.50;Concrete with cobbles and gravels of moderately decomposed granite and red bricks (FILL);Fill;High
B2B;1;2.50;19.70;Wash boring;No recovery;High
B2B;2;19.70;21.50;Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with some red brick and steel fragment (FILL);Fill;High
B2B;3;21.50;26.04;Wash boring;No recovery;High
B2B;3;26.04;31.80;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow to very narrow, rough planar, limonite, manganese and kaolin stained joints, dipping 10-20, 40-60, 70-80;Granite;High
B2C;1;0.00;1.50;Concrete Slab with steel bars;Concrete;High
B2C;1;1.50;4.00;Concrete with cobbles and gravels of moderately decomposed granite (FILL);Fill;High
B2C;1;4.00;19.30;Wash boring (No recovery);No Recovery;High
B2C;2;19.30;19.70;Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with some brown silty SAND;Soil;High
B2C;2;19.70;24.55;Wash boring (No recovery);No Recovery;High
B2C;3;24.55;24.90;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
B2C;3;24.90;31.71;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints;Granite;High
B3;1;0.00;0.20;Concrete Slab;Concrete;High
B3;1;0.20;0.85;Wash boring;No recovery;High
B3;1;0.85;3.32;Concrete with cobbles and gravels of moderately decomposed granite and occasionally some red bricks;Fill;High
B3;1;3.32;19.20;Wash boring;No recovery;High
B3;2;19.20;20.63;Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
B3;3;20.63;27.77;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
B3A;1;0.00;0.20;Concrete Slab.;Concrete;High
B3A;1;0.20;0.80;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
B3A;1;0.80;3.00;Concrete with cobbles and gravels of moderately decomposed granite. (FILL);Fill;High
B3A;1;3.00;19.55;Wash boring. (No recovery);No Recovery;High
B3A;3;19.55;25.63;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained, chlorite and kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-60 degrees, 70 degrees-85 degrees.;Granite;High
B3A;3;25.63;28.30;Strong, pinkish grey spotted black and white, slightly decomposed, medium to coarse grained GRANITE.;Granite;High
B3B;1;0.00;0.33;Concrete Slab;Concrete;High
B3B;1;0.33;18.50;Wash boring. (No recovery);No recovery;High
B3B;2;18.50;19.10;Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with some brown silty SAND. (ALLUVIUM);Alluvium;High
B3B;2;19.10;21.10;Wash boring. (No recovery);No recovery;High
B3B;3;21.10;28.05;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite stained and clean joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees.;Granite;High
B3C;1;0.0;0.5;Concrete Slab with steel bars;Concrete;High
B3C;1;0.5;18.1;Wash boring;No recovery;High
B3C;2;18.1;19.34;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely spaced, extremely narrow, rough planar, limonite stained and clean joints, dipping 10 degrees-20 degrees, 60 degrees-70 degrees, 80 degrees-85 degrees.;Granite;High
B3C;3;19.34;19.57;No recovery;No recovery;High
B3C;3;19.57;28.13;Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely spaced, extremely narrow, rough planar, limonite stained and clean joints, dipping 10 degrees-20 degrees, 60 degrees-70 degrees, 80 degrees-85 degrees.;Granite;High
B4;1;0.0;0.6;Concrete Slab with steel bars;Concrete;High
B4;1;0.6;17.85;Wash boring;No recovery;High
B4;2;17.85;18.05;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed, medium to coarse grained GRANITE;Granite;High
B4;2;18.05;19.25;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed, medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10-20, 75-85 and occasionally vertical joints;Granite;High
B4;2;19.25;19.45;No recovery;No recovery;High
B4;3;19.45;28.14;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed, medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10-20, 75-85 and occasionally vertical joints;Granite;High
B4A;1;0.00;0.30;Concrete Slab.;Concrete;High
B4A;1;0.30;0.80;Concrete with cobbles and gravels of moderately decomposed granite. (FILL);Fill;High
B4A;1;0.80;3.00;Wash boring. (No recovery);No Recovery;High
B4A;1;3.00;16.98;Angular Cobbles and Gravels of moderately decomposed granite with some concrete fragment and steel fragment. (FILL);Fill;High
B4A;2;16.98;27.52;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained and kaolin stained joints, dipping 10-20, 40-65, 75-85.;Granite;High
BLA;1;0.0;0.2;CONCRETE SLAB;Concrete;High
BLA;1;0.2;2.0;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
BLA;1;2.0;11.0;No recovery;No Recovery;High
BLA;2;11.0;11.3;Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
BLA;2;11.3;16.5;No recovery;No Recovery;High
BLA;2;16.5;16.9;Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
BLA;2;16.9;18.3;No recovery;No Recovery;High
BLA;2;18.3;19.0;Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND;Alluvium;High
BLA;2;19.0;23.54;No recovery;No Recovery;High
BLA;3;23.54;32.2;Moderately strong to strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE;Granite;High
C1;1;0.00;0.20;Concrete Slab.;Concrete;High
C1;1;0.20;1.00;Brown, gravelly silty medium to coarse SAND. (FILL);Sand;High
C1;1;1.00;29.65;Wash boring.;No recovery;High
C1;4;29.65;35.61;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, moderately narrow to very narrow, rough planar, limonite, manganese stained chlorite and kaolin coated joints, dipping 10 degrees-20 degrees, 30 degrees-40 degrees, 70 degrees-85 degrees and occasionally vertical joints.;Granite;High
C2;1;0.00;1.50;Concrete with steel bar;Concrete;High
C2;1;1.50;3.70;Wash boring. (No recovery);No recovery;High
C2;1;3.70;4.90;Angular BOULDER, COBBLES and GRAVELS of moderately decomposed granite and tuff with some brown, silty SAND. (FILL);Fill;High
C2;1;4.90;18.80;Wash boring. (No recovery);No recovery;High
C2;2;18.80;19.60;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some brown silty SAND. (ALLUVIUM);Alluvium;High
C2;3;19.60;26.33;Wash boring. (No recovery);No recovery;High
C2;3;26.33;31.39;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite, manganese and kaolin stained joints, dipping 10-20, 40-50, 75-85 and occasionally vertical joints.;Granite;High
C2A;1;0.00;0.20;Concrete Slab;Concrete;High
C2A;1;0.20;0.60;Wash boring. (No recovery);No Recovery;High
C2A;1;0.60;2.50;Concrete with cobbles and gravels of moderately decomposed granite and some rubbish. (FILL);Fill;High
C2A;1;2.50;23.60;Wash boring. (No recovery);No Recovery;High
C2A;3;23.60;29.87;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 65 degrees-75 degrees.;Granite;High
C3;1;0.00;0.20;Concrete Slab;Concrete;High
C3;1;0.20;3.20;Concrete with cobbles and gravels of moderately decomposed granite and steel bars. (FILL);Fill;High
C3;1;3.20;21.45;Wash boring. (No recovery);No recovery;High
C3;3;21.45;22.90;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow to very narrow, rough planar, limonite, manganese and kaolin stained and clean joints, dipping 10 degrees-20 degrees, 70 degrees-85 degrees.;Granite;High
C3;3;22.90;28.70;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE.;Granite;High
C3A;1;0.00;0.20;Concrete Slab.;Concrete;High
C3A;1;0.20;0.40;Brown, gravelly silty medium to coarse SAND. (FILL);Sand;High
C3A;1;0.40;3.68;Concrete with cobbles and gravels of moderately decomposed granite. (FILL);Fill;High
C3A;1;3.68;18.89;Wash boring. (No recovery);No Recovery;High
C3A;3;18.89;28.09;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, manganese, limonite stained and clean joints, dipping 10 degrees-20 degrees, 40 degrees-60 degrees and occasionally vertical joints.;Granite;High
C4;1;0.00;1.72;Concrete with steel bars;Concrete;High
C4;1;1.72;17.88;Concrete with steel bars and steel fragments;Concrete;High
C4;2;17.88;28.06;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite stained, kaolin coated and clean joints, dipping 10 degrees-20 degrees, 75 degrees-85 degrees and occasionally vertical joints.;Granite;High
C6;1;0.00;0.60;Concrete with red brick fragments. (FILL);Fill;High
C6;1;0.60;17.25;Wash Boring. (No Recovery);No Recovery;High
C6;2;17.25;26.19;Strong, greyish pink spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite and manganese stained joints, dipping 10 degrees-20 degrees, 50 degrees-60 degrees and 70 degrees-80 degrees.;Granite;High
DIA;1;0.00;0.20;Concrete slab;Concrete;High
DIA;1;0.20;2.00;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
DIA;1;2.00;7.50;Angular Cobbles and Gravels of moderately decomposed granite with some brown, silty SAND and some concrete fragment. (FILL);Fill;High
DIA;1;7.50;27.50;Wash boring. No recovery at 7.50m-27.50m.;No recovery;High
DIA;3;27.50;38.30;Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally extremely narrow, rough planar, limonite, manganese stained, chloride and kaolin coated joints, dipping 10 degrees-20 degrees and 30 degrees-50 degrees.;Granite;High
B6;1;0.00;2.00;Concrete with red brick fragments and steel fragments. (FILL);Fill;High
B6;1;2.00;18.30;Wash Boring. (No Recovery);No Recovery;High
B6;2;18.30;18.79;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite and manganese stained, kaolin and chlorite coated joints, dipping 10 degrees-20 degrees, 30 degrees-40 degrees, 55 degrees-70 degrees and occasionally vertical joints.;Granite;High
B6;2;18.79;19.30;No Recovery;No Recovery;High
B6;2;19.30;20.20;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite and manganese stained, kaolin and chlorite coated joints, dipping 10 degrees-20 degrees, 30 degrees-40 degrees, 55 degrees-70 degrees and occasionally vertical joints.;Granite;High
B6;3;20.20;20.70;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
B6;3;20.70;20.82;No Recovery;No Recovery;High
B6;3;20.82;26.35;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE;Granite;High
DH10;1;0.00;19.00;Wash Boring. (No Recovery);No Recovery;High
DH10;2;19.00;19.50;Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some grey, silty SAND. (ALLUVIUM);Alluvium;High
DH10;2;19.50;21.20;Wash Boring. (No Recovery);No Recovery;High
DH10;3;21.20;22.07;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, very narrow, rough planar, limonite and manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees and 50 degrees-60 degrees.;Granite;High
DH10;3;22.07;27.43;Moderately strong to strong, greyish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite and manganese stained joints, dipping 10 degrees-20 degrees and 50 degrees-60 degrees.;Granite;High
DH11;1;0.00;0.20;Concrete Slab.;Concrete;High
DH11;1;0.20;1.00;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
DH11;1;1.00;17.80;Wash boring. (No recovery);No recovery;High
DH11;2;17.80;19.70;Sub-rounded GRAVEL and COBBLES of moderately decomposed granite and tuff with some brown, silty sand. (ALLUVIUM);Alluvium;High
DH11;2;19.70;20.25;No recovery;No recovery;High
DH11;3;20.25;25.84;Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed, medium to coarse grained GRANITE with medium to closely spaced, very narrow, rough planar, limonite, manganese stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 65 degrees-80 degrees and occasionally vertical joints.;Granite;High
DH12;1;0.00;0.20;Concrete Slab;Concrete;High
DH12;1;0.20;2.00;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
DH12;1;2.00;6.50;Wash boring. (No recovery);No Recovery;High
DH12;1;6.50;7.00;Angular GRAVEL and COBBLES of moderately decomposed granite with some brown silty SAND. (FILL);Fill;High
DH12;1;7.00;18.00;Wash boring. (No recovery);No Recovery;High
