sep=;
Hole No;Easting;Northing;Sheet No;Start Depth;End Depth;Grade;Soil/Rock Description;Soil/Rock Type;Confidence Level
B2A_v1;839907.00;816539.32;3;22.80;23.40;IV/III;Moderately strong to strong, brownish pink mottled black and white, moderately to slightly decomposed medium to coarse grained GRANITE with medium to close joint spacing, with natural orange brown, very narrow, extremely narrow, rough planar, stained joints, dipping 70 degrees to 90 degrees, 30 degrees to 45 degrees, and occasionally vertical joints.;Granite;0.95
B2A_v1;839907.00;816539.32;3;23.40;31.56;III/II;Similar, but dark brown, grey to brownish pink mottled black and white, highly to moderately decomposed medium to coarse grained GRANITE. (Note: 23.40m-23.80m: No recovery.);Granite;0.95
B2B_v1;839912.22;816543.82;1;0.00;1.94;;Concrete Slab. Concrete with cobbles and gravels of sub-rounded decomposed granite and red bricks. (FILL);Fill;1.00
B2B_v1;839912.22;816543.82;1;1.94;21.50;;Wash boring. (No recovery);No Recovery;1.00
B2B_v1;839912.22;816543.82;3;21.50;22.50;;Sub-rounded Cobbles and Gravels of decomposed and fresh granite and tuff with some red brick and steel fragments (FILL);Fill;1.00
B2B_v1;839912.22;816543.82;3;22.50;26.04;;Wash boring. (No recovery);No Recovery;1.00
B2B_v1;839912.22;816543.82;3;26.04;30.34;III/II;Moderately strong to strong, fine to coarse grained, pink and white, moderately to slightly decomposed GRANITE with widely to medium spaced, medium to narrow to very narrow, rough planar, limonite, stained and kaolinized, joint plane, dipping 10 degrees-20 degrees, 40 degrees-80 degrees, 70 degrees-80 degrees No recovery 29.95-30.34m.;Granite;1.00
B2B_v1;839912.22;816543.82;4;30.34;31.80;III/II;Moderately strong to strong, fine to coarse grained, pink and white, moderately to slightly decomposed GRANITE with widely to medium spaced, medium to narrow to very narrow, rough planar, limonite, stained and kaolinized, joint plane, dipping 10 degrees-20 degrees, 40 degrees-80 degrees, 70 degrees-80 degrees;Granite;1.00
B3_v1;839906.84;816533.32;1;0.00;0.30;;Concrete Slab, Wash boring. (No recovery);Concrete;1.00
B3_v1;839906.84;816533.32;1;0.30;3.59;;Concrete with cobbles and gravels of sub-rounded to sub-angular shape and occasionally some red bricks. (FILL);Fill;1.00
B3_v1;839906.84;816533.32;1;3.59;19.20;;Wash boring. (No recovery);No Recovery;1.00
B3_v1;839906.84;816533.32;2;19.20;20.63;;Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with pale brown, silty SAND. (ALLUVIUM);Alluvium;0.95
B3_v1;839906.84;816533.32;3;20.63;27.77;III;Moderately strong, brownish pink slightly to moderately decomposed medium to coarse grained GRANITE. Fine to coarse grained and occasionally chill quartz veinlets, extremely narrow and occasionally narrow, rough planar joints, manganese oxide and chlorite stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees.;Granite;0.95
B3A_v1;839906.68;816527.33;1;0.00;0.25;;Concrete Slab;Concrete;1.00
B3A_v1;839906.68;816527.33;1;0.25;0.80;;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;1.00
B3A_v1;839906.68;816527.33;1;0.80;1.75;;Cobbles with boulders and gravels of moderately decomposed granite. (FILL);Fill;1.00
B3A_v1;839906.68;816527.33;1;1.75;19.55;;Wash boring. (No recovery);No recovery;1.00
B3A_v1;839906.68;816527.33;2;19.55;25.20;III/II;Moderately strong to strong, fine to coarse grained, pink and white, moderately to slightly decomposed, fine to coarse grained GRANITE with widely to closely spaced, occasionally closely spaced, very narrow to medium, infilling of granular, limonite, manganese stained, chlorite. Discontinuities dipping at 10 degrees-20 degrees, 40 degrees-60 degrees, 70 degrees-85 degrees.;Granite;1.00
B3A_v1;839906.68;816527.33;3;25.20;28.30;II;Strong, pinkish grey spotted black and white, slightly decomposed, medium to coarse grained GRANITE.;Granite;1.00
B3B_v1;839911.98;816534.61;1;0.00;0.33;;Concrete Slab.;Concrete;1.00
B3B_v1;839911.98;816534.61;1;0.33;18.00;;Wash boring. (No recovery);No recovery;1.00
B3B_v1;839911.98;816534.61;2;18.00;19.10;;Sub-rounded Cobbles and Gravels of metamorphic rock and quartz with some brown silty SAND. (ALLUVIUM);Alluvium;1.00
B3B_v1;839911.98;816534.61;2;19.10;21.24;;wash boring. (No recovery);No recovery;1.00
B3B_v1;839911.98;816534.61;3;21.24;28.05;III/II;Moderately strong to strong, pinkish grey, fine to coarse grained, moderately to slightly decomposed GRANITE. Closely to moderately jointed with widely to medium spaced and closely to very closely spaced, very narrow to extremely narrow, rough planar joints, dipping 10 degrees, 20 degrees, 80 degrees, 85 degrees.;Granite;1.00
B3C_v1;839910.28;816527.23;1;0.00;0.50;;Concrete Slab with steel bars.;Concrete;1.00
B3C_v1;839910.28;816527.23;1;0.50;14.90;;Wash boring. (No recovery);Wash Boring;1.00
B3C_v1;839910.28;816527.23;2;14.90;19.75;III/II;Moderately strong to strong, pinkish grey, slightly to moderately decomposed, moderately to slightly decomposed coarse grained BIOTITE GRANITE with widely spaced, extremely narrow to narrow, persistent, stained and clean joints, dipping 10 degrees-20 degrees, 60 degrees-70 degrees, 80 degrees-85 degrees;Granite;0.95
B3C_v1;839910.28;816527.23;3;19.75;28.13;III/II;Moderately strong to strong, pinkish grey, slightly to moderately decomposed, moderately to slightly decomposed coarse grained BIOTITE GRANITE with widely spaced, extremely narrow to narrow, persistent, stained and clean joints, dipping 10 degrees-20 degrees, 60 degrees-70 degrees, 80 degrees-85 degrees. 19.34-19.57m: no recovery;Granite;0.95
B4_v1;839907.63;816522.55;1;0.00;0.80;;Concrete Slab with steel bars;Concrete;0.95
B4_v1;839907.63;816522.55;1;0.80;18.35;;Wash boring. (No recovery);Wash Boring;0.90
B4_v1;839907.63;816522.55;2;18.35;19.45;IV/III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints. 19.25m-19.45m: no recovery.;Granite;0.95
B4_v1;839907.63;816522.55;2;19.45;20.58;IV;Moderately weak to moderately strong, brownish pink spotted black and white, highly decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;20.58;20.73;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;20.73;21.19;II/III;Moderately weak to moderately strong, brownish pink spotted black and white, slightly to moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;21.19;21.33;II;Moderately weak to moderately strong, brownish pink spotted black and white, slightly decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;21.33;21.58;II/III;Moderately weak to moderately strong, brownish pink spotted black and white, slightly to moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;21.58;21.73;II;Moderately weak to moderately strong, brownish pink spotted black and white, slightly decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;21.73;21.90;III;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;21.90;22.33;II;Moderately weak to moderately strong, brownish pink spotted black and white, slightly decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;22.33;22.58;II/III;Moderately weak to moderately strong, brownish pink spotted black and white, slightly to moderately decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;22.58;23.99;II;Moderately weak to moderately strong, brownish pink spotted black and white, slightly decomposed, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
B4_v1;839907.63;816522.55;3;23.99;28.14;I;Moderately weak to moderately strong, brownish pink spotted black and white, fresh, medium to coarse grained GRANITE with closely to medium spaced, occasionally closely spaced, very widely spaced planar joints, manganese stained and kaolin coated joints dipping 10 to 60. Fresh and occasionally vertical joints.;Granite;0.95
C1_v1;839917.74;816553.98;1;0.00;0.20;;Concrete Slab.;Concrete;0.95
C1_v1;839917.74;816553.98;1;0.20;1.00;;Yellowish brown, generally silty medium to coarse SAND. (FILL);Fill;0.95
C1_v1;839917.74;816553.98;1;1.00;30.00;;Wash boring. (No recovery);No Recovery;0.95
C1_v1;839917.74;816553.98;4;30.00;35.61;III;Moderately strong, brownish pink to grey fine to coarse GRAINITE, moderately decomposed medium to coarse GRAINED GRANITE becoming fresh to moderately decomposed, closely jointed, dipping at low angle to very narrow, rough planar. Biotite, chlorite and kaolin coated joints, dipping at 10-20 degrees to 60-70 degrees and occasionally vertical joints.;Granite;0.95
C3_v1;839917.04;816533.05;1;0.00;0.30;;Concrete Slab;Concrete;0.90
C3_v1;839917.04;816533.05;1;0.30;3.20;;Clay with cobbles and gravels of moderately decomposed granite and steel bars. (FILL);Fill;0.85
C3_v1;839917.04;816533.05;1;3.20;21.45;;Wash boring. (No recovery);No Recovery;0.80
