sep=;
Hole No;Sheet No;Start Depth;End Depth;Soil/Rock Description;Soil/Rock Type;Confidence Level
DH47;1;0.00;0.20;Concrete Slab.;Concrete;High
DH47;1;0.20;2.50;Concrete with GRAVELS and COBBLES of moderately decomposed granite with some brown silty SAND and red bricks. (FILL);Fill;High
DH47;1;2.50;2.90;Wash boring. (No recovery);No Recovery;High
DH47;1;2.90;5.00;Angular GRAVEL, COBBLES and BOULDERS of moderately decomposed granite with some brown, silty SAND. (FILL);Fill;High
DH47;1;5.00;18.72;Wash boring. (No recovery);No Recovery;High
DH47;2;18.72;23.60;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, narrow, rough planar, limonite and manganese stained joints, dipping 10 degrees-20 degrees & 40 degrees-50 degrees. 19.71m-19.91m & 23.14m-23.35m: weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE. 19.91m-20.55m & 21.45m-23.14m: no recovery.;Granite;High
DH47;3;23.60;25.88;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-60 degrees & 70 degrees-80 degrees.;Granite;High
DH47;3;25.88;28.85;Moderately strong to strong, brownish pink, moderately to slightly decomposed, medium grained GRANITE with medium spaced rough planar joints.;Granite;High
DH55;1;0.00;0.20;Concrete Slab.;Concrete;High
DH55;1;0.20;2.00;Brown, gravelly silty medium to coarse SAND. (FILL);Fill (Sand);High
DH55;1;2.00;16.31;Wash boring. (No recovery);No Recovery;High
DH55;2;16.31;16.91;Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE. (CORESTONE);Granite;High
DH55;2;16.91;19.01;Wash boring. (No recovery);No Recovery;High
DH55;2;19.01;24.15;Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely spaced, extremely narrow, rough planar, limonite stained and clean joints, dipping 10 degrees-20 degrees, 75 degrees-85 degrees.;Granite;High
DH7;1;0.00;0.20;Concrete Slab.;Concrete;High
DH7;1;0.20;2.00;Brown, gravelly silty medium to coarse SAND. (FILL);Fill;High
DH7;1;2.00;23.70;Wash boring. (No recovery);No Recovery;High
DH7;3;23.70;23.85;No recovery;No Recovery;High
DH7;3;23.85;23.95;Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE.;Granite;High
DH7;3;23.95;24.20;Moderately strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 60 degrees-75 degrees.;Granite;High
DH7;3;24.20;24.32;No recovery;No Recovery;High
DH7;3;24.32;30.37;Moderately strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 60 degrees-75 degrees.;Granite;High
